Country Name,code2,Indicator Name,Indicator Code,population
Aruba,ABW,"Population, total",SP.POP.TOTL,106766
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,677243299
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38928341
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,458803476
Angola,AGO,"Population, total",SP.POP.TOTL,32866268
Albania,ALB,"Population, total",SP.POP.TOTL,2837743
Andorra,AND,"Population, total",SP.POP.TOTL,77265
Arab World,ARB,"Population, total",SP.POP.TOTL,436080728
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9890400
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Armenia,ARM,"Population, total",SP.POP.TOTL,2963234
American Samoa,ASM,"Population, total",SP.POP.TOTL,55197
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97928
Australia,AUS,"Population, total",SP.POP.TOTL,25687041
Austria,AUT,"Population, total",SP.POP.TOTL,8917205
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
Burundi,BDI,"Population, total",SP.POP.TOTL,11890781
Belgium,BEL,"Population, total",SP.POP.TOTL,11555997
Benin,BEN,"Population, total",SP.POP.TOTL,12123198
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20903278
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164689383
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Bahrain,BHR,"Population, total",SP.POP.TOTL,1701583
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,393248
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3280815
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Belize,BLZ,"Population, total",SP.POP.TOTL,397621
Bermuda,BMU,"Population, total",SP.POP.TOTL,63903
Bolivia,BOL,"Population, total",SP.POP.TOTL,11673029
Brazil,BRA,"Population, total",SP.POP.TOTL,212559409
Barbados,BRB,"Population, total",SP.POP.TOTL,287371
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,437483
Bhutan,BTN,"Population, total",SP.POP.TOTL,771612
Botswana,BWA,"Population, total",SP.POP.TOTL,2351625
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4829764
Canada,CAN,"Population, total",SP.POP.TOTL,38005238
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102253057
Switzerland,CHE,"Population, total",SP.POP.TOTL,8636896
Channel Islands,CHI,"Population, total",SP.POP.TOTL,173859
Chile,CHL,"Population, total",SP.POP.TOTL,19116209
China,CHN,"Population, total",SP.POP.TOTL,1410929362
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26378275
Cameroon,CMR,"Population, total",SP.POP.TOTL,26545864
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,89561404
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5518092
Colombia,COL,"Population, total",SP.POP.TOTL,50882884
Comoros,COM,"Population, total",SP.POP.TOTL,869595
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,555988
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5094114
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7442291
Cuba,CUB,"Population, total",SP.POP.TOTL,11326616
Curacao,CUW,"Population, total",SP.POP.TOTL,155014
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,65720
Cyprus,CYP,"Population, total",SP.POP.TOTL,1207361
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10698896
Germany,DEU,"Population, total",SP.POP.TOTL,83240525
Djibouti,DJI,"Population, total",SP.POP.TOTL,988002
Dominica,DMA,"Population, total",SP.POP.TOTL,71991
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10847904
Algeria,DZA,"Population, total",SP.POP.TOTL,43851043
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2113820753
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3332105361
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2360855079
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,420211696
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,923452178
Ecuador,ECU,"Population, total",SP.POP.TOTL,17643060
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,102334403
